Date,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
02-05-2021,Andaman and Nicobar Islands,-,-,5773,68,6046
02-05-2021,Andhra Pradesh,-,-,982297,8053,1121102
02-05-2021,Arunachal Pradesh,-,-,17190,59,18636
02-05-2021,Assam,-,-,228872,1330,256576
02-05-2021,Bihar,-,-,373261,2642,484106
02-05-2021,Chandigarh,-,-,35735,489,43446
02-05-2021,Chhattisgarh,-,-,614693,8810,744602
02-05-2021,Dadra and Nagar Haveli and Daman and Diu,-,-,5841,4,7712
02-05-2021,Delhi,-,-,1061246,16559,1174552
02-05-2021,Goa,-,-,68249,1222,93355
02-05-2021,Gujarat,-,-,429130,7355,581624
02-05-2021,Haryana,-,-,394709,4341,501566
02-05-2021,Himachal Pradesh,-,-,80585,1525,102038
02-05-2021,Jammu and Kashmir,-,-,147242,2330,179915
02-05-2021,Jharkhand,-,-,178468,2829,239734
02-05-2021,Karnataka,-,-,1143250,15794,1564132
02-05-2021,Kerala,-,-,1277294,5356,1606819
02-05-2021,Ladakh,-,-,12542,144,14086
02-05-2021,Lakshadweep,-,-,1481,4,2923
02-05-2021,Madhya Pradesh,-,-,481477,5718,575706
02-05-2021,Maharashtra,-,-,3930302,69615,4665754
02-05-2021,Manipur,-,-,29843,410,31905
02-05-2021,Meghalaya,-,-,15275,174,17108
02-05-2021,Mizoram,-,-,4985,15,6299
02-05-2021,Nagaland,-,-,12674,107,14134
02-05-2021,Odisha,-,-,391048,2054,454607
02-05-2021,Puducherry,-,-,48921,817,60001
02-05-2021,Punjab,-,-,310601,9160,377990
02-05-2021,Rajasthan,-,-,428953,4399,615653
02-05-2021,Sikkim,-,-,6416,148,8211
02-05-2021,Tamil Nadu,-,-,1054746,14193,1186344
02-05-2021,Telangana,-,-,367727,2368,450790
02-05-2021,Tripura,-,-,33720,398,35589
02-05-2021,Uttarakhand,-,-,132156,2731,186014
02-05-2021,Uttar Pradesh,-,-,967797,12874,1282504
02-05-2021,West Bengal,-,-,717772,11447,845878
01-05-2021,Andaman and Nicobar Islands,-,-,5701,67,5949
01-05-2021,Andhra Pradesh,-,-,970718,7992,1101690
01-05-2021,Arunachal Pradesh,-,-,17134,59,18419
01-05-2021,Assam,-,-,226643,1307,253123
01-05-2021,Bihar,-,-,362356,2560,470317
01-05-2021,Chandigarh,-,-,35263,478,42647
01-05-2021,Chhattisgarh,-,-,601161,8581,728700
01-05-2021,Dadra and Nagar Haveli and Daman and Diu,-,-,5567,4,7504
01-05-2021,Delhi,-,-,1033825,16147,1149333
01-05-2021,Goa,-,-,66939,1168,91052
01-05-2021,Gujarat,-,-,418548,7183,567777
01-05-2021,Haryana,-,-,386200,4216,487978
01-05-2021,Himachal Pradesh,-,-,79365,1497,99287
01-05-2021,Jammu and Kashmir,-,-,145441,2283,176083
01-05-2021,Jharkhand,-,-,173035,2660,233411
01-05-2021,Karnataka,-,-,1124909,15523,1523142
01-05-2021,Kerala,-,-,1261801,5308,1571183
01-05-2021,Ladakh,-,-,12376,143,13969
01-05-2021,Lakshadweep,-,-,1439,4,2767
01-05-2021,Madhya Pradesh,-,-,466915,5616,563327
01-05-2021,Maharashtra,-,-,3868976,68813,4602472
01-05-2021,Manipur,-,-,29764,405,31586
01-05-2021,Meghalaya,-,-,15083,171,16846
01-05-2021,Mizoram,-,-,4926,15,6020
01-05-2021,Nagaland,-,-,12611,104,13976
01-05-2021,Odisha,-,-,385414,2043,444194
01-05-2021,Puducherry,-,-,48298,805,58622
01-05-2021,Punjab,-,-,306153,9022,370973
01-05-2021,Rajasthan,-,-,417277,4239,598001
01-05-2021,Sikkim,-,-,6373,147,7952
01-05-2021,Tamil Nadu,-,-,1037582,14046,1166756
01-05-2021,Telengana,-,-,362160,2312,443360
01-05-2021,Tripura,-,-,33679,397,35342
01-05-2021,Uttarakhand,-,-,128405,2624,180521
01-05-2021,Uttar Pradesh,-,-,928971,12570,1252324
01-05-2021,West Bengal,-,-,703398,11344,828366
30-04-2021,Andaman and Nicobar Islands,-,-,5643,67,5875
30-04-2021,Andhra Pradesh,-,-,962250,7928,1084336
30-04-2021,Arunachal Pradesh,-,-,17085,59,18256
30-04-2021,Assam,-,-,224194,1281,249926
30-04-2021,Bihar,-,-,351162,2480,454464
30-04-2021,Chandigarh,-,-,34806,465,41923
30-04-2021,Chhattisgarh,-,-,587484,8312,713706
30-04-2021,Dadra and Nagar Haveli and Daman and Diu,-,-,5249,4,7334
30-04-2021,Delhi,-,-,1008537,15772,1122286
30-04-2021,Goa,-,-,65984,1146,88028
30-04-2021,Gujarat,-,-,408368,7010,553172
30-04-2021,Haryana,-,-,376852,4118,474145
30-04-2021,Himachal Pradesh,-,-,77634,1460,96929
30-04-2021,Jammu and Kashmir,-,-,144154,2253,172551
30-04-2021,Jharkhand,-,-,169033,2540,227450
30-04-2021,Karnataka,-,-,1110025,15306,1474846
30-04-2021,Kerala,-,-,1244301,5259,1533984
30-04-2021,Ladakh,-,-,12129,140,13866
30-04-2021,Lakshadweep,-,-,1382,4,2662
